Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     59.97     0.00        1     1.00    19.13  create_icon_box
  0.00     59.97     0.00        1     1.00     9.62  create_spectrum_obj
  0.00     59.97     0.00        1     1.00     2.88  lv_disp_load_scr
  0.00     59.98     0.00        1     1.00     1.01  lv_gradient_set_cache_size
  0.00     59.98     0.00        1     1.00     1.01  lv_obj_set_scroll_snap_y
  0.00     59.98     0.00        1     1.00    12.62  style_init
  0.00     59.98     0.00                             _lv_ll_ins_tail
  0.00     59.98     0.00                             _lv_txt_is_cmd
  0.00     59.98     0.00                             lv_anim_path_step
  0.00     59.98     0.00                             lv_draw_sw_line
  0.00     59.98     0.00                             lv_label_is_char_under_pos
  0.00     59.98     0.00                             lv_obj_get_y2
  0.00     59.98     0.00                             lv_obj_init_draw_arc_dsc
  0.00     59.99     0.00                             scroll_x_anim
  0.00     59.99     0.00      889     0.00     0.00  lv_obj_get_state
  0.00     59.99     0.00      228     0.00     0.00  _lv_area_join
  0.00     59.99     0.00       21     0.02     1.14  lv_obj_set_size
  0.00     59.99     0.00        2     0.25     0.89  lv_imgbtn_set_src
  0.00     59.99     0.00        1     0.50     0.50  lv_draw_init
  0.00     59.99     0.00        1     0.50     3.17  lv_imgbtn_create
  0.00     59.99     0.00                             draw_border_generic
  0.00     59.99     0.00                             draw_buf_rotate
  0.00     59.99     0.00                             hex_char_to_num
  0.00     59.99     0.00                             lv_bar_get_start_value
  0.00     59.99     0.00                             lv_disp_get_next
  0.00     59.99     0.00                             lv_draw_mask_angle_init
  0.00     59.99     0.00                             lv_event_get_indev
  0.00     59.99     0.00                             lv_img_decoder_read_line
  0.00     59.99     0.00                             show_error
  0.00     59.99     0.00    10722     0.00     0.00  lv_timer_time_remaining
  0.00     59.99     0.00     2336     0.00     0.00  _out_null
  0.00     59.99     0.00      836     0.00     0.00  lv_refr_join_area
  0.00     59.99     0.00      774     0.00     0.57  lv_obj_set_local_style_prop
  0.00     59.99     0.00      691     0.00     0.01  lv_obj_scroll_to
  0.00     59.99     0.00      619     0.00     0.00  lv_img_get_zoom
  0.00     59.99     0.00      519     0.00     0.00  lv_label_revert_dots
  0.00     59.99     0.00      446     0.00     0.00  circ_init
  0.00     59.99     0.00      406     0.00     0.00  get_max_row
